City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,mount isa,-20.7333,139.5,83.97,51,100,4.61,AU,2023-02-02 06:56:48
201,henties bay,-22.116,14.2845,64.08,84,95,4.0,NA,2023-02-02 06:56:48
202,gambela,8.25,34.5833,91.9,18,14,1.74,ET,2023-02-02 06:56:49
203,nicoya,10.1483,-85.452,73.56,76,10,11.65,CR,2023-02-02 06:56:50
204,te anau,-45.4167,167.7167,64.53,86,100,1.05,NZ,2023-02-02 06:56:51
205,mo i rana,66.3128,14.1428,7.32,86,0,0.0,NO,2023-02-02 06:55:23
206,cabedelo,-6.9811,-34.8339,77.67,80,56,8.75,BR,2023-02-02 06:56:52
207,ishinomaki,38.4167,141.3,37.4,65,11,22.48,JP,2023-02-02 06:56:52
208,brokopondo,4.75,-55.1667,72.54,93,100,4.43,SR,2023-02-02 06:56:53
209,flin flon,54.7682,-101.865,-19.43,90,100,10.63,CA,2023-02-02 06:56:54
210,richards bay,-28.783,32.0377,74.43,87,98,3.33,ZA,2023-02-02 06:56:54
211,aklavik,68.2191,-135.0107,-29.02,99,65,7.65,CA,2023-02-02 06:56:55
212,batticaloa,7.7102,81.6924,80.82,79,100,12.3,LK,2023-02-02 06:56:56
213,tirano,46.2154,10.1679,41.43,55,6,9.95,IT,2023-02-02 06:56:56
214,nova odesa,47.3078,31.7851,32.32,80,35,6.42,UA,2023-02-02 06:56:57
215,itarema,-2.9248,-39.9167,77.4,86,100,11.03,BR,2023-02-02 06:56:58
216,khasan,42.4308,130.6434,24.39,45,3,17.85,RU,2023-02-02 06:56:58
217,tautira,-17.7333,-149.15,81.95,72,0,19.71,PF,2023-02-02 06:56:59
218,bathsheba,13.2167,-59.5167,77.61,73,40,13.8,BB,2023-02-02 06:57:00
219,necochea,-38.5473,-58.7368,64.17,83,99,4.92,AR,2023-02-02 06:57:00
220,manokwari,-0.8667,134.0833,84.04,69,22,7.02,ID,2023-02-02 06:57:01
221,staryy nadym,65.6118,72.6842,12.94,95,22,9.22,RU,2023-02-02 06:57:02
222,lovozero,68.005,35.0117,23.77,97,100,5.14,RU,2023-02-02 06:57:02
223,cayenne,4.9333,-52.3333,71.64,100,100,2.3,GF,2023-02-02 06:57:03
224,sinnamary,5.3833,-52.95,73.69,91,100,2.46,GF,2023-02-02 06:57:04
225,sandpoint,48.2766,-116.5533,24.03,95,0,0.0,US,2023-02-02 06:53:30
226,lolodorf,3.2333,10.7333,73.24,91,54,1.68,CM,2023-02-02 06:57:05
227,murree,33.9073,73.393,40.24,37,100,3.56,PK,2023-02-02 06:57:06
228,bandarbeyla,9.4942,50.8122,77.47,57,16,15.66,SO,2023-02-02 06:57:06
229,magadan,59.5667,150.8,5.79,97,99,4.83,RU,2023-02-02 06:57:07
230,chifeng,42.2683,118.9636,24.39,15,86,2.13,CN,2023-02-02 06:57:08
231,portobelo,9.55,-79.65,74.1,81,100,18.34,PA,2023-02-02 06:57:09
232,simbahan,6.3032,120.5836,82.29,72,100,4.23,PH,2023-02-02 06:57:09
233,zhangjiakou,40.81,114.8794,24.82,18,100,1.48,CN,2023-02-02 06:57:10
234,shubarkuduk,49.1447,56.4872,18.55,78,8,10.51,KZ,2023-02-02 06:57:11
235,abu samrah,35.3029,37.1841,46.63,59,5,25.01,SY,2023-02-02 06:57:11
236,gravdal,68.1214,13.5031,30.09,100,75,3.44,NO,2023-02-02 06:57:12
237,along,28.1667,94.7667,82.94,24,0,2.15,IN,2023-02-02 06:57:13
238,kosonsoy,41.2561,71.5508,36.16,97,100,3.6,UZ,2023-02-02 06:57:14
239,kirakira,-10.4544,161.9205,81.84,83,94,5.46,SB,2023-02-02 06:57:15
240,nigran,42.1415,-8.8066,45.03,70,0,6.91,ES,2023-02-02 06:57:16
241,barrhead,55.7992,-4.3929,49.82,90,100,17.27,GB,2023-02-02 06:57:17
242,namie,37.4833,141.0,38.71,60,100,12.39,JP,2023-02-02 06:57:17
243,carnarvon,-24.8667,113.6333,86.04,61,13,18.14,AU,2023-02-02 06:57:19
244,katherine,-14.4667,132.2667,89.92,55,40,16.11,AU,2023-02-02 06:57:20
245,ugoofaaru,5.6667,73.0,80.38,67,71,12.39,MV,2023-02-02 06:57:22
246,san-pedro,4.7485,-6.6363,77.4,93,9,0.25,CI,2023-02-02 06:57:24
247,rawson,-43.3002,-65.1023,64.44,79,31,17.58,AR,2023-02-02 06:57:25
248,constitucion,-35.3333,-72.4167,61.79,50,0,8.21,CL,2023-02-02 06:57:25
249,cidreira,-30.1811,-50.2056,74.3,91,89,3.6,BR,2023-02-02 06:57:26
250,les cayes,18.2,-73.75,75.42,75,97,1.72,HT,2023-02-02 06:57:27
251,manta,-0.95,-80.7333,78.58,83,40,6.91,EC,2023-02-02 06:57:27
252,lazi,48.0667,24.2333,31.8,98,100,4.0,UA,2023-02-02 06:57:28
253,sorong,-0.8833,131.25,83.35,77,96,14.03,ID,2023-02-02 06:56:30
254,bilma,18.6853,12.9164,55.9,29,59,7.92,NE,2023-02-02 06:57:29
255,whitehaven,54.549,-3.5841,46.87,100,98,5.01,GB,2023-02-02 06:57:30
256,bulawayo,-20.15,28.5833,67.59,78,100,6.2,ZW,2023-02-02 06:57:30
257,tefe,-3.3542,-64.7114,72.72,99,95,2.46,BR,2023-02-02 06:57:31
258,sorland,67.667,12.6934,35.46,55,99,5.06,NO,2023-02-02 06:57:31
259,rocha,-34.4833,-54.3333,67.19,84,100,2.51,UY,2023-02-02 06:57:32
260,serik,36.9169,31.0989,47.75,50,5,14.99,TR,2023-02-02 06:57:33
261,utrecht,52.0,5.25,47.98,89,100,8.01,NL,2023-02-02 06:57:03
262,ostrovnoy,68.0531,39.5131,17.94,92,73,22.88,RU,2023-02-02 06:57:34
263,planaltina,-15.4528,-47.6142,63.09,92,94,2.89,BR,2023-02-02 06:57:34
264,leshukonskoye,64.8989,45.7622,14.02,97,79,6.02,RU,2023-02-02 06:57:35
265,marawi,7.9986,124.2928,75.7,82,100,7.43,PH,2023-02-02 06:57:35
266,kabare,-2.4683,28.8242,69.71,75,5,1.54,CD,2023-02-02 06:57:36
267,novokuznetsk,53.7557,87.1099,12.76,89,40,3.33,RU,2023-02-02 06:57:37
268,sungairaya,0.7,108.9,83.62,72,97,3.91,ID,2023-02-02 06:57:37
269,male,4.1748,73.5089,84.15,74,40,9.22,MV,2023-02-02 06:57:38
270,mitsamiouli,-11.3847,43.2844,81.91,76,100,4.23,KM,2023-02-02 06:57:39
271,moussoro,13.6408,16.4901,67.71,17,98,18.52,TD,2023-02-02 06:57:40
272,roebourne,-20.7833,117.1333,94.37,46,10,16.71,AU,2023-02-02 06:57:40
273,longyearbyen,78.2186,15.6401,10.24,67,20,17.27,SJ,2023-02-02 06:57:41
274,mackay,-21.15,149.2,84.16,82,84,11.41,AU,2023-02-02 06:57:41
275,melfi,40.9965,15.6514,40.5,87,0,5.86,IT,2023-02-02 06:57:42
276,agadez,19.75,10.25,52.63,27,75,6.64,NE,2023-02-02 06:57:43
277,nemuro,43.3236,145.575,21.43,70,54,17.13,JP,2023-02-02 06:57:43
278,rundu,-17.9333,19.7667,68.58,88,100,2.91,NA,2023-02-02 06:57:44
279,shegaon,20.7833,76.6833,82.26,18,74,5.55,IN,2023-02-02 06:57:44
280,saint-joseph,-21.3667,55.6167,84.58,73,13,7.47,RE,2023-02-02 06:57:45
281,roald,62.5833,6.1333,34.75,93,20,9.22,NO,2023-02-02 06:57:46
282,qeshm,26.9581,56.2719,73.29,75,9,14.18,IR,2023-02-02 06:57:47
283,guerrero negro,27.9769,-114.0611,56.28,65,0,3.13,MX,2023-02-02 06:56:38
284,sambava,-14.2667,50.1667,83.25,69,100,11.79,MG,2023-02-02 06:54:28
285,fairbanks,64.8378,-147.7164,11.61,83,100,4.61,US,2023-02-02 06:57:48
